Car_No,Time,Longitude,Latitude,Unknown-0,Unknown-1,Unknown,Resources,Request
10062,2008-02-08 17:37:28,116.33104,39.99272,0,0,0,4,1
10063,2008-02-02 13:37:52,116.357,39.9083,0,0,0,26,4
10063,2008-02-08 11:35:07,116.22516,39.6324,0,0,0,33,11
10064,2008-02-02 13:35:19,116.43488,39.91313,0,0,0,10,20
10064,2008-02-08 14:17:59,116.52761,39.96656,0,0,0,12,4
10065,2008-02-03 02:30:44,116.43422,40.02313,0,0,0,11,9
10065,2008-02-08 11:48:21,116.32417,39.97228,0,0,0,9,14
10066,2008-02-02 13:33:16,117.11392,40.15608,0,0,0,10,3
10066,2008-02-08 17:36:54,117.11818,40.15596,0,0,0,10,20
10067,2008-02-02 13:44:43,116.35027,39.9054,0,0,0,14,6
10067,2008-02-08 12:43:57,116.51117,39.67943,0,0,0,5,4
10068,2008-02-02 13:35:26,116.58172,40.07647,0,0,0,35,15
10068,2008-02-08 17:37:46,116.39219,39.82535,0,0,0,25,1
10069,2008-02-02 13:37:27,116.31536,39.9271,0,0,0,32,18
10069,2008-02-08 17:32:21,116.34849,39.9658,0,0,0,4,0
1007,2008-02-02 13:38:38,116.315,39.90852,0,0,0,3,13
1007,2008-02-08 17:39:15,116.32453,39.8861,0,0,0,29,7
10070,2008-02-02 13:34:24,116.47199,39.90799,0,0,0,12,2
10070,2008-02-06 12:56:57,116.84545,40.37768,0,0,0,5,0
10071,2008-02-02 13:40:28,116.29831,39.98397,0,0,0,36,3
10071,2008-02-08 16:57:33,116.28036,40.23162,0,0,0,11,11
10072,2008-02-02 14:16:47,116.35652,40.01333,0,0,0,27,9
10072,2008-02-08 17:35:22,116.35647,40.01332,0,0,0,7,20
10073,2008-02-02 13:35:19,116.30894,39.86524,0,0,0,1,4
10073,2008-02-08 13:26:09,116.72621,40.43107,0,0,0,5,6
10074,2008-02-02 13:35:39,116.40878,40.22136,0,0,0,11,9
10074,2008-02-08 17:37:41,116.3979,40.15173,0,0,0,7,13
10075,2008-02-02 13:34:43,116.38043,39.87761,0,0,0,13,14
10075,2008-02-08 17:35:08,116.45545,39.8913,0,0,0,14,15
10076,2008-02-02 13:34:18,116.40239,39.96769,0,0,0,34,13
10076,2008-02-08 17:37:47,116.50787,39.86542,0,0,0,22,3
10077,2008-02-02 14:05:34,116.46764,39.94396,0,0,0,4,1
10077,2008-02-08 17:34:49,116.35035,39.91402,0,0,0,17,20
10078,2008-02-02 13:36:24,116.50034,39.86623,0,0,0,39,16
10078,2008-02-08 17:35:58,116.3785,39.88653,0,0,0,33,5
10079,2008-02-02 13:35:06,116.56428,40.07153,0,0,0,12,19
10079,2008-02-08 17:38:15,116.29972,39.94001,0,0,0,2,8
1008,2008-02-02 13:38:35,116.40864,39.87083,0,0,0,3,3
1008,2008-02-08 17:34:20,116.41273,39.85982,0,0,0,6,1
10080,2008-02-02 20:10:22,116.28909,39.87848,0,0,0,16,6
10080,2008-02-08 12:44:30,116.32915,39.87746,0,0,0,35,2
10081,2008-02-02 13:34:56,116.64186,39.8304,0,0,0,22,8
10081,2008-02-08 17:29:35,116.43781,39.87115,0,0,0,0,20
10082,2008-02-02 13:32:56,116.43779,39.90587,0,0,0,0,10
10082,2008-02-08 17:38:29,116.47586,39.89924,0,0,0,2,4
10083,2008-02-02 13:35:21,116.56664,40.0719,0,0,0,20,10
10083,2008-02-08 17:39:17,116.77762,40.09749,0,0,0,34,16
10084,2008-02-02 13:40:23,116.33753,39.93311,0,0,0,1,19
10084,2008-02-08 17:38:05,116.23896,39.9585,0,0,0,8,1
10085,2008-02-02 13:33:01,116.29433,39.90632,0,0,0,3,3
10085,2008-02-08 17:35:39,116.08869,39.71852,0,0,0,26,9
10086,2008-02-02 14:19:38,116.43589,39.92056,0,0,0,23,14
10086,2008-02-08 16:53:35,116.49465,40.00757,0,0,0,0,2
10087,2008-02-02 13:37:40,116.29607,39.90668,0,0,0,3,18
10087,2008-02-08 17:37:31,116.39667,39.87155,0,0,0,38,11
10088,2008-02-02 13:39:21,116.45956,39.95878,0,0,0,24,19
10088,2008-02-08 13:06:28,116.50216,39.85147,0,0,0,28,3
10089,2008-02-02 13:35:47,116.38185,39.96834,0,0,0,5,9
10089,2008-02-07 21:35:53,116.53164,39.95912,0,0,0,40,11
1009,2008-02-02 13:35:35,116.34446,39.88702,0,0,0,28,8
1009,2008-02-08 17:34:40,116.32046,39.89585,0,0,0,36,17
10090,2008-02-02 14:14:43,116.14483,40.241,0,0,0,0,4
10090,2008-02-08 12:51:11,116.27467,39.85762,0,0,0,7,18
10091,2008-02-02 13:37:38,116.45534,39.89751,0,0,0,37,12
10091,2008-02-07 22:13:45,116.62476,40.22026,0,0,0,24,2
10092,2008-02-02 13:35:12,116.43242,39.85858,0,0,0,36,9
10092,2008-02-08 12:37:17,116.48747,39.7527,0,0,0,24,0
10093,2008-02-02 13:32:19,116.45524,39.94893,0,0,0,4,17
10093,2008-02-08 17:38:32,116.32037,39.93745,0,0,0,25,11
10094,2008-02-02 13:42:57,116.3277,39.9273,0,0,0,23,19
10094,2008-02-08 17:38:15,116.34743,39.90588,0,0,0,31,5
10095,2008-02-02 13:55:01,116.38028,39.96878,0,0,0,4,5
10095,2008-02-08 16:22:43,116.32792,39.79443,0,0,0,29,7
10096,2008-02-02 13:34:48,116.39175,39.88507,0,0,0,11,8
10096,2008-02-08 17:36:31,116.42118,39.89857,0,0,0,22,17
10097,2008-02-02 13:38:31,116.45614,39.90731,0,0,0,22,11
10097,2008-02-08 17:38:53,116.45561,39.90809,0,0,0,17,6
10098,2008-02-02 13:49:22,116.38365,39.98639,0,0,0,32,20
10098,2008-02-08 13:22:11,116.35768,40.15835,0,0,0,20,14
10099,2008-02-02 13:35:54,116.30415,39.89277,0,0,0,22,12
10099,2008-02-07 20:07:33,116.27423,39.58,0,0,0,20,0
101,2008-02-03 16:36:59,116.44791,39.95044,0,0,0,16,0
101,2008-02-03 16:57:04,116.44738,39.95079,0,0,0,37,13
1010,2008-02-02 13:33:58,116.31515,39.89859,0,0,0,19,5
1010,2008-02-08 17:39:09,116.33142,39.89714,0,0,0,36,15
10100,2008-02-02 13:34:58,116.3401,39.90622,0,0,0,11,1
10100,2008-02-08 17:38:40,116.38116,39.87838,0,0,0,26,3
10101,2008-02-02 13:33:59,116.44957,39.97936,0,0,0,5,12
10101,2008-02-08 17:39:03,116.39885,40.19515,0,0,0,14,16
10102,2008-02-02 13:39:41,116.45577,39.90984,0,0,0,21,12
10102,2008-02-08 17:38:10,116.4104,39.93938,0,0,0,2,3
10103,2008-02-02 13:37:27,116.43782,39.86278,0,0,0,31,3
10103,2008-02-08 17:36:31,116.28404,39.90581,0,0,0,34,5
10104,2008-02-02 13:57:37,116.60628,39.70226,0,0,0,9,9
10104,2008-02-08 17:35:28,116.43197,39.87585,0,0,0,30,0
10105,2008-02-02 13:38:39,116.56674,40.07089,0,0,0,40,3
10105,2008-02-08 17:35:33,116.37561,39.94029,0,0,0,1,6
10106,2008-02-02 13:34:12,116.47589,39.89922,0,0,0,15,17
10106,2008-02-06 18:34:44,116.69204,39.91945,0,0,0,38,20
10107,2008-02-02 14:05:40,116.44934,39.90712,0,0,0,28,10
10107,2008-02-08 17:27:58,116.82281,39.70755,0,0,0,26,14
10108,2008-02-02 13:37:26,116.56507,40.07186,0,0,0,36,17
10108,2008-02-08 17:31:41,116.34946,39.93732,0,0,0,40,0
10109,2008-02-02 13:40:16,116.40179,39.9601,0,0,0,10,8
10109,2008-02-08 15:45:32,116.27734,40.14176,0,0,0,1,2
1011,2008-02-02 13:33:51,116.37343,39.89512,0,0,0,17,6
1011,2008-02-08 17:36:39,116.30719,39.8233,0,0,0,11,11
10110,2008-02-02 14:26:59,116.08428,39.94237,0,0,0,14,11
10110,2008-02-08 17:37:23,116.17917,39.92679,0,0,0,31,0
10111,2008-02-02 13:45:28,116.28885,39.91033,0,0,0,34,9
10111,2008-02-08 17:37:23,116.11523,39.89128,0,0,0,40,0
10112,2008-02-02 13:39:36,116.3088,39.88507,0,0,0,3,3
10112,2008-02-08 17:37:53,116.20685,39.81808,0,0,0,28,13
10113,2008-02-02 13:33:06,116.48502,39.96218,0,0,0,34,1
10113,2008-02-08 13:20:40,117.0875,40.11965,0,0,0,23,10
10114,2008-02-02 13:36:24,116.41162,39.91754,0,0,0,34,5
10114,2008-02-08 17:38:55,116.28021,40.0005,0,0,0,22,6
10116,2008-02-02 13:53:25,116.33772,39.92724,0,0,0,37,6
10116,2008-02-08 17:36:27,116.63226,40.03353,0,0,0,29,20
10117,2008-02-02 13:34:07,116.4016,39.9473,0,0,0,23,20
10117,2008-02-08 17:35:16,116.45627,39.94816,0,0,0,11,3
10118,2008-02-02 13:37:51,116.28089,39.90887,0,0,0,4,1
10118,2008-02-08 17:36:26,116.49999,39.91697,0,0,0,19,6
10119,2008-02-02 13:39:16,116.42785,39.93427,0,0,0,10,5
10119,2008-02-08 17:37:46,116.34032,39.88681,0,0,0,17,7
1012,2008-02-02 13:39:54,116.31961,39.93299,0,0,0,6,16
1012,2008-02-08 17:31:08,116.34549,39.92508,0,0,0,12,4
10120,2008-02-02 13:45:58,116.22684,40.06841,0,0,0,3,7
10120,2008-02-08 16:19:30,116.13431,40.07977,0,0,0,27,7
10121,2008-02-02 13:37:37,116.52747,39.93657,0,0,0,22,2
10121,2008-02-08 17:37:01,116.47162,39.89896,0,0,0,16,15
10122,2008-02-02 13:51:01,116.46585,39.94387,0,0,0,32,4
10122,2008-02-08 17:37:32,116.2721,39.93991,0,0,0,34,16
10123,2008-02-02 13:35:41,116.18319,39.92614,0,0,0,40,13
10123,2008-02-08 17:39:01,116.1835,39.92634,0,0,0,10,13
10124,2008-02-02 13:36:47,116.47564,39.96593,0,0,0,9,13
10124,2008-02-08 17:38:42,116.23031,39.90616,0,0,0,11,10
10125,2008-02-02 13:41:41,116.45904,39.89212,0,0,0,31,1
10125,2008-02-08 17:37:56,116.43882,39.85281,0,0,0,31,5
10126,2008-02-02 13:51:37,116.32283,39.90427,0,0,0,23,19
10126,2008-02-08 17:37:01,116.55064,40.33782,0,0,0,7,5
10127,2008-02-02 13:37:37,116.4285,39.91758,0,0,0,25,11
10127,2008-02-08 17:33:15,116.38729,39.95299,0,0,0,28,1
10128,2008-02-02 13:38:36,116.4554,39.90393,0,0,0,38,13
10128,2008-02-08 17:06:09,117.06634,40.16471,0,0,0,11,6
10129,2008-02-02 13:39:03,116.35032,39.92201,0,0,0,30,0
10129,2008-02-08 15:42:48,116.38312,40.1123,0,0,0,26,4
1013,2008-02-02 13:37:51,116.31154,39.96458,0,0,0,27,10
1013,2008-02-08 17:36:30,116.45879,40.00336,0,0,0,13,0
10130,2008-02-02 13:36:21,116.06993,39.71515,0,0,0,20,7
10130,2008-02-06 11:22:23,115.8307,39.64564,0,0,0,9,16
10131,2008-02-02 14:10:59,116.4082,39.85254,0,0,0,28,15
10131,2008-02-08 15:03:18,116.34939,39.95575,0,0,0,10,6
10132,2008-02-02 13:38:44,116.33494,39.97742,0,0,0,11,15
10132,2008-02-08 17:36:36,116.26747,39.90656,0,0,0,32,12
10133,2008-02-02 13:47:59,116.37659,39.85567,0,0,0,28,13
10133,2008-02-08 16:07:16,116.11806,39.72814,0,0,0,32,2
10134,2008-02-02 13:42:35,116.35761,39.906,0,0,0,16,20
10134,2008-02-08 12:39:24,117.10004,40.15388,0,0,0,8,14
10135,2008-02-02 14:06:55,116.40966,39.96074,0,0,0,0,18
10135,2008-02-07 20:51:57,116.31631,39.73072,0,0,0,31,11
10136,2008-02-02 13:36:55,116.34215,39.86871,0,0,0,23,20
10136,2008-02-08 17:22:49,116.72116,39.46286,0,0,0,25,11
10137,2008-02-02 13:37:14,116.48485,39.91438,0,0,0,32,0
10137,2008-02-08 15:56:30,117.20195,40.42109,0,0,0,6,1
10138,2008-02-02 13:33:28,116.26926,39.93002,0,0,0,25,2
10138,2008-02-08 17:38:45,116.36957,39.96675,0,0,0,14,1
10139,2008-02-02 13:35:26,116.42209,39.83799,0,0,0,20,0
10139,2008-02-08 17:38:53,116.39217,39.88887,0,0,0,10,16
1014,2008-02-02 13:37:50,116.48378,39.96273,0,0,0,39,1
1014,2008-02-08 17:35:57,116.53568,39.97229,0,0,0,34,16
10140,2008-02-02 13:38:47,116.36047,39.95667,0,0,0,9,20
10140,2008-02-08 17:37:15,116.74467,40.39329,0,0,0,14,6
10141,2008-02-02 14:03:05,116.49345,39.97394,0,0,0,22,8
10141,2008-02-08 15:50:17,117.2211,40.15391,0,0,0,4,7
10142,2008-02-02 15:16:20,116.39561,39.8263,0,0,0,9,18
10142,2008-02-08 13:10:37,116.49223,40.09821,0,0,0,38,16
10143,2008-02-02 13:38:06,116.2363,39.90257,0,0,0,13,5
10143,2008-02-06 17:05:34,116.16949,39.75941,0,0,0,22,10
10144,2008-02-02 13:39:11,116.38915,39.94851,0,0,0,5,5
10144,2008-02-08 17:39:05,116.37095,39.92292,0,0,0,40,12
10145,2008-02-02 13:57:53,116.46344,39.91992,0,0,0,25,4
10145,2008-02-08 17:38:14,116.35018,39.92425,0,0,0,12,17
10146,2008-02-02 13:32:33,116.31788,39.95558,0,0,0,15,20
10146,2008-02-08 17:37:53,116.37116,39.8773,0,0,0,11,6
10147,2008-02-02 13:37:15,116.3461,39.9856,0,0,0,6,13
10147,2008-02-07 20:28:47,116.18953,39.92659,0,0,0,8,0
10148,2008-02-02 15:23:56,116.41441,39.8857,0,0,0,39,10
10148,2008-02-08 14:38:33,116.41559,39.88378,0,0,0,13,5
10149,2008-02-02 13:30:58,116.42963,39.9683,0,0,0,40,19
10149,2008-02-08 12:34:10,116.33004,40.03676,0,0,0,20,7
1015,2008-02-02 13:34:25,116.30158,39.89587,0,0,0,16,11
1015,2008-02-08 17:37:03,116.40026,39.95048,0,0,0,28,18
10150,2008-02-02 14:20:43,116.30131,39.88891,0,0,0,39,12
10150,2008-02-08 12:52:59,116.12688,39.7454,0,0,0,4,14
10151,2008-02-02 13:35:33,116.27093,39.84639,0,0,0,6,4
10151,2008-02-08 17:33:32,116.35424,39.98039,0,0,0,30,4
10152,2008-02-02 13:35:45,116.36635,39.99635,0,0,0,10,15
10152,2008-02-05 21:22:02,116.73678,40.66827,0,0,0,22,19
10153,2008-02-02 13:43:38,116.36841,39.89761,0,0,0,20,0
10153,2008-02-08 17:35:40,116.37109,39.98563,0,0,0,2,20
10154,2008-02-02 13:38:28,116.39142,39.94943,0,0,0,13,6
10154,2008-02-08 17:35:56,116.4077,39.9578,0,0,0,21,14
10155,2008-02-02 13:41:08,116.34958,39.93997,0,0,0,20,0
10155,2008-02-08 17:38:47,117.00496,40.10654,0,0,0,10,12
10156,2008-02-02 13:39:32,116.57746,40.06264,0,0,0,26,14
10156,2008-02-08 17:36:17,116.24205,39.92856,0,0,0,20,2
10157,2008-02-02 15:38:24,116.47563,39.92715,0,0,0,25,7
10157,2008-02-08 12:53:45,116.2491,39.92804,0,0,0,27,4
10158,2008-02-02 13:37:10,116.36603,39.9446,0,0,0,7,20
10158,2008-02-08 17:38:15,116.45938,39.95813,0,0,0,23,12
10159,2008-02-02 13:30:59,116.35588,39.8985,0,0,0,22,20
10159,2008-02-08 17:38:59,116.45569,39.92928,0,0,0,36,17
1016,2008-02-02 13:36:05,116.34278,39.85952,0,0,0,2,15
1016,2008-02-08 17:38:33,116.34851,39.86127,0,0,0,6,7
10160,2008-02-02 13:35:15,116.34045,39.95538,0,0,0,2,4
10160,2008-02-08 17:10:11,116.26138,39.79935,0,0,0,37,19
10161,2008-02-02 13:35:28,116.42221,39.84576,0,0,0,6,1
10161,2008-02-08 17:38:51,116.40761,39.91364,0,0,0,22,19
10162,2008-02-02 13:40:28,116.52196,39.79368,0,0,0,2,1
10162,2008-02-08 17:33:12,116.43648,39.76261,0,0,0,26,9
10163,2008-02-02 13:37:25,116.32869,39.96949,0,0,0,15,19
10163,2008-02-08 17:38:13,116.3739,39.90877,0,0,0,28,5
10164,2008-02-02 13:35:42,116.34339,39.93072,0,0,0,6,7
10164,2008-02-08 17:35:31,116.42704,39.9228,0,0,0,37,2
10165,2008-02-02 15:12:05,116.47313,39.80101,0,0,0,21,10
10165,2008-02-08 13:57:08,116.4831,39.78984,0,0,0,16,1
10166,2008-02-02 15:08:16,116.44784,39.82274,0,0,0,30,19
10166,2008-02-08 17:36:18,116.36223,39.90156,0,0,0,35,9
10167,2008-02-02 14:09:47,116.47703,39.97393,0,0,0,7,0
10167,2008-02-08 16:32:17,117.07445,40.10252,0,0,0,40,20
10168,2008-02-02 13:36:55,116.54123,40.02501,0,0,0,10,17
10168,2008-02-08 17:38:29,117.30248,40.67786,0,0,0,33,10
10169,2008-02-02 20:38:00,116.36088,39.92652,0,0,0,40,12
10169,2008-02-08 17:38:23,117.19947,40.33522,0,0,0,2,2
1017,2008-02-02 13:38:55,116.32708,39.9342,0,0,0,14,18
1017,2008-02-08 17:38:26,116.05632,40.30091,0,0,0,9,2
10170,2008-02-02 13:50:15,116.31283,40.0104,0,0,0,5,5
10170,2008-02-08 17:38:44,116.31447,40.00964,0,0,0,7,14
10171,2008-02-02 13:39:58,116.37069,39.9755,0,0,0,38,15
10171,2008-02-08 17:38:25,115.69323,41.29075,0,0,0,37,10
